id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch
0,9,2024-12-23 00:04:06,24,238,Monday,346,62,420,301,home,False
1,9,2024-12-23 00:04:06,24,195,Monday,243,142,339,312,home,False
2,9,2024-12-23 00:04:20,10,248,Monday,537,184,678,381,home,False
3,9,2024-12-23 00:04:31,83,2087,Monday,537,182,681,377,home,False
4,9,2024-12-23 00:04:31,22,107,Monday,349,62,420,300,home,False
5,9,2024-12-23 00:04:54,40,92,Monday,243,141,339,312,home,False
6,8,2024-12-23 00:04:54,30,92,Monday,496,140,547,297,home,False
7,8,2024-12-23 12:30:06,322,9251,Monday,466,95,649,288,home,False
8,9,2024-12-23 12:34:54,31,53,Monday,339,16,518,266,home,False
9,5,2024-12-23 19:03:39,23,280,Monday,644,254,918,432,home,False
10,5,2024-12-23 19:03:40,92,1030,Monday,0,98,261,374,home,True
11,5,2024-12-23 19:03:49,21,55,Monday,254,17,540,261,home,True
12,8,2024-12-23 19:04:01,11,82,Monday,577,240,664,506,home,True
13,12,2024-12-23 19:04:14,577,4613,Monday,600,518,888,655,home,True
14,8,2024-12-23 19:04:35,5,110,Monday,508,242,573,354,home,True
15,9,2024-12-23 19:04:40,7,91,Monday,476,180,563,211,home,True
16,9,2024-12-23 19:04:47,15,52,Monday,486,126,570,147,home,True
17,5,2024-12-23 19:05:13,282,2298,Monday,0,98,233,393,home,True
18,8,2024-12-23 19:05:13,5,62,Monday,411,38,509,177,home,False
19,8,2024-12-23 19:05:42,2,61,Monday,378,20,521,100,home,True
20,8,2024-12-23 19:05:49,5,117,Monday,416,70,480,192,home,False
21,8,2024-12-23 19:05:56,2,73,Monday,378,80,516,116,home,False
22,8,2024-12-23 19:06:01,5,69,Monday,409,20,509,68,home,True
23,8,2024-12-23 19:06:09,20,111,Monday,372,22,497,82,home,True
24,8,2024-12-23 19:06:11,11,248,Monday,360,23,486,80,home,True
25,5,2024-12-23 19:06:22,16,169,Monday,261,13,699,282,home,True
26,8,2024-12-23 19:06:24,5,51,Monday,387,51,504,77,home,True
27,8,2024-12-23 19:06:28,3,65,Monday,382,36,521,96,home,True
28,5,2024-12-23 19:06:54,10,115,Monday,292,0,718,272,home,True
29,5,2024-12-23 19:06:54,10,61,Monday,0,99,266,353,home,True
30,5,2024-12-23 19:06:57,23,73,Monday,293,1,719,276,home,True
31,5,2024-12-23 19:07:15,2,52,Monday,304,0,737,285,home,True
32,8,2024-12-23 19:07:39,6,54,Monday,403,63,499,123,home,True
33,8,2024-12-23 19:08:11,4,104,Monday,403,45,542,89,home,True
34,8,2024-12-23 19:08:12,10,199,Monday,411,41,545,90,home,False
35,8,2024-12-23 19:08:25,11,117,Monday,484,45,504,179,home,True
36,2,2024-12-23 19:08:26,162,170,Monday,37,165,220,451,home,True
37,7,2024-12-23 19:08:36,9,63,Monday,649,0,737,34,home,True
38,8,2024-12-23 19:08:37,9,193,Monday,450,63,559,189,home,False
39,8,2024-12-23 19:08:54,39,239,Monday,348,87,497,199,home,True
40,5,2024-12-23 19:09:13,276,1248,Monday,0,101,250,351,home,True
41,5,2024-12-23 19:09:33,22,95,Monday,355,33,817,317,home,True
42,8,2024-12-23 19:09:43,2,72,Monday,402,35,550,117,home,True
43,8,2024-12-23 19:09:55,3,65,Monday,347,166,370,288,home,True
44,8,2024-12-23 19:09:59,8,220,Monday,352,106,455,226,home,True
45,8,2024-12-23 19:10:23,10,80,Monday,327,86,473,195,home,False
46,8,2024-12-23 19:10:34,20,136,Monday,295,135,386,271,home,True
47,8,2024-12-23 19:10:34,5,86,Monday,320,130,391,265,home,True
48,8,2024-12-23 19:10:35,9,79,Monday,303,146,394,282,home,False
49,8,2024-12-23 19:10:48,8,93,Monday,298,117,403,268,home,False
50,8,2024-12-23 19:11:01,35,827,Monday,380,102,418,234,home,False
51,8,2024-12-23 19:11:46,16,104,Monday,364,67,491,154,home,True
52,8,2024-12-23 19:12:14,6,169,Monday,408,18,491,179,home,True
53,8,2024-12-23 19:12:21,5,67,Monday,414,37,507,172,home,True
54,8,2024-12-23 19:12:27,8,203,Monday,452,92,494,218,home,True
55,2,2024-12-23 19:12:56,54,85,Monday,35,182,220,461,home,True
56,5,2024-12-23 20:22:23,51,189,Monday,0,96,256,408,home,True
57,19,2024-12-23 20:22:23,310,8325,Monday,534,595,732,849,home,True
58,9,2024-12-23 20:22:28,11,100,Monday,535,603,732,849,home,True
59,5,2024-12-23 20:23:24,249,184,Monday,0,95,266,384,home,True
60,2,2024-12-23 20:27:33,61,1514,Monday,488,211,624,379,home,True
61,9,2024-12-23 20:27:56,38,225,Monday,545,68,687,238,home,True
62,2,2024-12-23 20:31:42,30,261,Monday,487,211,623,376,home,True
63,9,2024-12-23 20:31:42,29,572,Monday,545,68,687,238,home,True
